"@timestamp",pkttype,"header.manufacturerId"
"Jan 20, 2025 @ 17:53:36.347",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 17:33:48.682",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 17:33:43.358",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 17:31:40.713",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 17:31:35.470",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 17:29:54.675",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 17:29:49.831",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 17:01:01.603",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 17:00:57.290",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 16:58:46.400",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 16:56:27.617",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 16:56:08.657",vehicleBusStatus,0071008801
"Jan 20, 2025 @ 16:47:51.983",vehicleBusStatus,0071009C60
"Jan 20, 2025 @ 16:33:53.019",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 16:32:28.517",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 16:29:37.133",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 16:21:47.447",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 16:18:13.563",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 16:18:09.268",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 16:16:20.026",vehicleBusStatus,0071009C60
"Jan 20, 2025 @ 16:14:49.142",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 16:01:16.238",vehicleBusStatus,0071008860
"Jan 20, 2025 @ 15:59:00.546",vehicleBusStatus,0071009947
"Jan 20, 2025 @ 15:56:18.692",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 15:50:13.182",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 15:36:24.702",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 15:36:19.633",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 15:24:49.981",vehicleBusStatus,00710083E5
"Jan 20, 2025 @ 15:19:02.911",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 15:10:56.154",vehicleBusStatus,0071008860
"Jan 20, 2025 @ 14:51:34.505",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:51:29.718",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:36:04.588",vehicleBusStatus,00710086CF
"Jan 20, 2025 @ 14:30:24.816",vehicleBusStatus,0071009947
"Jan 20, 2025 @ 14:23:00.142",vehicleBusStatus,0071009947
