"@timestamp","header.manufacturerId","vehicleBusStatus.hasReceivedAfterInstallation"
"Feb 14, 2025 @ 20:24:16.269",00D202F757,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalSwitch, leftTurnSignalSwitch"
"Feb 14, 2025 @ 20:19:46.141",00D202FC2B,"wheelSpeed, rpm, odo, highResFuel, engFuelRate, accelPedal, ropEngine, ropBrake, yawEngine, yawBrake, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, rightTurnSignalSwitch, leftTurnSignalSwitch"
"Feb 14, 2025 @ 20:12:37.123",00D202FBCF,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, bendixFcWarning, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalSwitch, leftTurnSignalSwitch, primaryFcWarning, defaultHapticWarning, defaultFcMitigation, collisionTime"
"Feb 14, 2025 @ 19:34:04.499",00D202FBCF,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, bendixFcWarning, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalSwitch, leftTurnSignalSwitch, primaryFcWarning, defaultHapticWarning, defaultFcMitigation, collisionTime"
"Feb 14, 2025 @ 19:33:31.304",00D202FCA9,"-"
"Feb 14, 2025 @ 18:37:18.983",00D202F757,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalSwitch, leftTurnSignalSwitch"
"Feb 14, 2025 @ 18:36:55.349",00D202FB8B,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalLights, leftTurnSignalLights, rightTurnSignalSwitch, leftTurnSignalSwitch"
"Feb 14, 2025 @ 18:21:40.489",00D202FCA9,"-"
"Feb 14, 2025 @ 17:59:33.250",00D202FBCF,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, bendixFcWarning, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalSwitch, leftTurnSignalSwitch, primaryFcWarning, defaultHapticWarning, defaultFcMitigation, collisionTime"
"Feb 14, 2025 @ 17:39:23.079",00D202FB8B,"wheelSpeed, rpm, odo, highResFuel, fuel, engFuelRate, accelPedal, brakeLight, ropEngine, ropBrake, yawEngine, yawBrake, distanceForwardVehicle, speedForwardVehicle, cruiseControl, brakeSwitch, transmissionDrivelineEngaged, secondaryFcWarning, vdscFullyOperational, rightTurnSignalLights, leftTurnSignalLights, rightTurnSignalSwitch, leftTurnSignalSwitch"
